...1,n_guesses,entropy_start,entropy_end,mean_entropy_drop,max_entropy_drop,early_entropy_drop,monotone_entropy,green_fraction,yellow_fraction,valid,source
412342,6,2,6,5.166666666666667,6,7,0,0.5,0.03333333333333333,NA,real
2728972,2,2,10,6,10,12,0,0.5,0.2,NA,real
4364911,6,3,10,3.1666666666666665,10,3,0,0.16666666666666666,0.3,NA,real
4966340,6,3,10,6.166666666666667,10,9,0,0.5666666666666667,0.1,NA,real
2983769,5,4,10,6,10,8,0,0.32,0.56,NA,real
3051706,4,1,10,4,10,3,0,0.35,0.1,NA,real
5515778,4,2,10,5.5,10,5,0,0.4,0.3,NA,real
3699389,3,3,10,6,10,8,0,0.5333333333333333,0.13333333333333333,NA,real
4166618,6,0,10,4.333333333333333,10,1,0,0.4,0.06666666666666667,NA,real
3264376,3,5,10,7,10,11,0,0.6666666666666666,0.06666666666666667,NA,real
424149,3,3,10,5.666666666666667,10,7,0,0.5333333333333333,0.06666666666666667,NA,real
493103,6,1,10,4.5,10,3,0,0.4,0.1,NA,real
3576634,4,3,10,6.5,10,8,0,0.6,0.1,NA,real
649345,4,6,10,7.5,10,12,0,0.75,0,NA,real
6306236,5,2,10,5.8,10,5,0,0.56,0.04,NA,real
560203,4,3,10,6.25,10,9,0,0.6,0.05,NA,real
1256809,3,3,10,7,10,11,0,0.6,0.2,NA,real
6709344,4,2,10,5.5,10,5,0,0.5,0.1,NA,real
2176775,2,5,10,7.5,10,15,0,0.6,0.3,NA,real
6353736,4,2,10,4.25,10,4,0,0.3,0.25,NA,real
67259,4,4,10,6.75,10,9,0,0.65,0.05,NA,real
1005917,5,6,10,6.8,10,12,0,0.68,0,NA,real
2644772,4,2,10,4.75,10,5,0,0.4,0.15,NA,real
4878962,5,0,10,4,10,2,0,0.32,0.16,NA,real
6842624,4,1,10,4,10,3,0,0.25,0.3,NA,real
5206864,5,0,10,5.8,10,5,0,0.56,0.04,NA,real
126355,2,3,10,6.5,10,13,0,0.6,0.1,NA,real
6432557,6,2,10,4.5,10,4,0,0.23333333333333334,0.43333333333333335,NA,real
2907396,4,3,10,5.25,10,7,0,0.5,0.05,NA,real
2169457,6,2,10,6.666666666666667,10,8,0,0.6666666666666666,0,NA,real
5593117,6,3,10,6.333333333333333,10,6,0,0.6,0.06666666666666667,NA,real
1925506,5,2,10,4.2,10,4,0,0.36,0.12,NA,real
3168754,4,1,10,5.5,10,4,0,0.45,0.2,NA,real
947879,6,1,10,6.333333333333333,10,6,0,0.6,0.06666666666666667,NA,real
1733700,4,2,10,5.25,10,5,0,0.5,0.05,NA,real
441317,1,10,10,10,10,10,1,1,0,NA,real
3058268,5,2,10,5.8,10,5,0,0.48,0.2,NA,real
4466766,3,2,10,4.666666666666667,10,4,0,0.3333333333333333,0.26666666666666666,NA,real
6015106,5,5,10,6.2,10,7,0,0.6,0.04,NA,real
1672457,3,3,10,6.333333333333333,10,9,0,0.5333333333333333,0.2,NA,real
1068246,5,2,10,4.8,10,3,0,0.4,0.16,NA,real
1605836,6,0,10,4.666666666666667,10,3,0,0.36666666666666664,0.2,NA,real
1033553,4,1,10,4.75,10,4,0,0.3,0.35,NA,real
759665,4,2,10,5.25,10,5,0,0.5,0.05,NA,real
4896471,4,3,10,6.25,10,9,0,0.6,0.05,NA,real
5692302,4,3,10,6.5,10,8,0,0.6,0.1,NA,real
5536956,5,3,10,3.8,10,3,0,0.32,0.12,NA,real
396495,4,1,10,4.75,10,4,0,0.4,0.15,NA,real
5329617,3,3,10,6.333333333333333,10,9,0,0.5333333333333333,0.2,NA,real
3277686,6,3,10,4,10,4,0,0.3333333333333333,0.13333333333333333,NA,real
2870399,6,1,10,5.333333333333333,10,4,0,0.5,0.06666666666666667,NA,real
1240552,6,1,10,4.333333333333333,10,3,0,0.3,0.26666666666666666,NA,real
3118717,3,5,10,6.666666666666667,10,10,0,0.6,0.13333333333333333,NA,real
5660111,4,3,10,5.5,10,7,0,0.4,0.3,NA,real
2601947,6,2,10,6.666666666666667,10,6,0,0.6333333333333333,0.06666666666666667,NA,real
6012099,5,3,10,6.6,10,7,0,0.56,0.2,NA,real
6262583,4,3,10,5.5,10,6,0,0.5,0.1,NA,real
5478667,4,0,10,5,10,2,0,0.5,0,NA,real
1489172,5,2,10,4,10,5,0,0.28,0.24,NA,real
6555055,3,0,10,3.3333333333333335,10,0,0,0.3333333333333333,0,NA,real
4174402,4,2,10,4.75,10,3,0,0.45,0.05,NA,real
6368469,4,4,10,7.5,10,12,0,0.75,0,NA,real
2624325,4,1,10,5.5,10,5,0,0.4,0.3,NA,real
533610,3,3,10,7,10,11,0,0.6666666666666666,0.06666666666666667,NA,real
3376149,3,5,10,7,10,11,0,0.6666666666666666,0.06666666666666667,NA,real
1388633,6,3,10,3.1666666666666665,10,6,0,0.23333333333333334,0.16666666666666666,NA,real
6878820,4,2,10,6,10,7,0,0.5,0.2,NA,real
2889706,5,3,10,5,10,7,0,0.48,0.04,NA,real
3884250,5,2,10,6,10,5,0,0.48,0.24,NA,real
6552483,2,2,10,6,10,12,0,0.5,0.2,NA,real
122486,6,0,10,3.8333333333333335,10,1,0,0.16666666666666666,0.43333333333333335,NA,real
2667996,4,2,10,4.75,10,4,0,0.45,0.05,NA,real
1029444,3,1,10,5.333333333333333,10,6,0,0.4666666666666667,0.13333333333333333,NA,real
2551796,6,2,10,4.666666666666667,10,5,0,0.4,0.13333333333333333,NA,real
5263612,6,0,10,6.166666666666667,10,3,0,0.6,0.03333333333333333,NA,real
3171139,4,4,10,7,10,10,0,0.7,0,NA,real
3735064,5,2,10,4.6,10,5,0,0.28,0.36,NA,real
3837395,5,4,10,7.6,10,12,0,0.72,0.08,NA,real
6734355,2,8,10,9,10,18,0,0.9,0,NA,real
5436345,3,1,10,4.333333333333333,10,3,0,0.4,0.06666666666666667,NA,real
5235913,3,1,10,4.666666666666667,10,4,0,0.4,0.13333333333333333,NA,real
3968113,3,5,10,7,10,11,0,0.6,0.2,NA,real
703767,3,0,10,5.333333333333333,10,6,0,0.5333333333333333,0,NA,real
3708265,4,2,10,4.75,10,5,0,0.3,0.35,NA,real
3871623,3,4,10,7.333333333333333,10,12,0,0.6,0.26666666666666666,NA,real
5348000,4,1,10,4.75,10,3,0,0.4,0.15,NA,real
3145407,5,0,10,3.6,10,1,0,0.28,0.16,NA,real
2660597,3,4,10,5.666666666666667,10,7,0,0.5333333333333333,0.06666666666666667,NA,real
1659164,5,2,10,5.4,10,5,0,0.4,0.28,NA,real
1830112,2,5,10,7.5,10,15,0,0.7,0.1,NA,real
2033223,4,4,10,6,10,8,0,0.55,0.1,NA,real
2642809,3,3,10,7,10,11,0,0.6666666666666666,0.06666666666666667,NA,real
6508821,5,0,10,4.4,10,0,0,0.44,0,NA,real
136573,4,4,10,7.5,10,12,0,0.75,0,NA,real
3173869,5,0,10,4.8,10,2,0,0.4,0.16,NA,real
6456128,3,1,10,5.333333333333333,10,6,0,0.4666666666666667,0.13333333333333333,NA,real
5440084,4,1,10,4,10,2,0,0.3,0.2,NA,real
1225699,3,2,10,5.666666666666667,10,7,0,0.5333333333333333,0.06666666666666667,NA,real
907853,3,2,10,5.666666666666667,10,7,0,0.4,0.3333333333333333,NA,real
466498,6,0,10,3.5,10,0,0,0.26666666666666666,0.16666666666666666,NA,real
2244927,5,1,10,3.8,10,1,0,0.32,0.12,NA,real
5333323,4,2,10,6.5,10,8,0,0.6,0.1,NA,real
